HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;WGS84 Y
325;Olympiapark Eissportstadion;München;de:09162:325;48,1760902970516;11,55961750141
326;Curt-Mezger-Platz;München;de:09162:326;48,1812621652774;11,5669155857751
328;Andernacher Straße;München;de:09162:328;48,1854471675117;11,5244098031047
329;Anhalter Platz;München;de:09162:329;48,186847324202;11,5622421685182
330;Gärtnerstraße;München;de:09162:330;48,177699447141;11,5365429223122
331;Moosacher Straße;München;de:09162:331;48,1871766413881;11,5660857868331
332;Olympia-Einkaufszentrum Süd;München;de:09162:332;48,1821601707943;11,5321053657569
333;Dessauerstraße;München;de:09162:333;48,1807107135099;11,5317285661408
334;Milbertshofener Platz;München;de:09162:334;48,1845430526716;11,5664710888943
335;Schopenhauerstraße;München;de:09162:335;48,1793892365285;11,5639192152013
336;Lüneburger Straße;München;de:09162:336;48,1831092407536;11,5630673823807
337;Detmoldstraße;München;de:09162:337;48,1923720699693;11,5653694689448
338;Schittgablerstraße;München;de:09162:338;48,1916967418402;11,5487910739426
340;Petuelring;München;de:09162:340;48,1754511441718;11,5665610772999
341;Himmelschlüsselstraße;München;de:09162:341;48,1954724539641;11,5348628873001
342;Lerchenauer See;München;de:09162:342;48,1979483993954;11,5355534528494
343;Max-Wönner-Straße;München;de:09162:343;48,1993519536237;11,5357022096308
344;Franz-Sperr-Weg;München;de:09162:344;48,2038803149949;11,5391188626247
345;Gneisenaustraße;München;de:09162:345;48,1786008752886;11,5304030769638
346;Paidarstraße;München;de:09162:346;48,2148210518207;11,5448742879489
347;Hasenbergl (Rainfarnstr.);München;de:09162:347;48,2136306857442;11,5532275095746
349;Stanigplatz;München;de:09162:349;48,2165895277489;11,5532421731148
350;Olympiazentrum;München;de:09162:350;48,1787050105407;11,5566637369873
351;Stösserstraße;München;de:09162:351;48,2197789134482;11,5570633224914
352;Irisstraße;München;de:09162:352;48,1966578571802;11,5456940832176
353;Robinienstraße;München;de:09162:353;48,2006225325413;11,5430761884747
354;Goldlackplatz;München;de:09162:354;48,200182816518;11,550169521232
355;Gundermannstraße;München;de:09162:355;48,2041851370947;11,5525561509181
356;Hasenbergl Süd;München;de:09162:356;48,2083039731639;11,5525337776774
357;Ittlingerstraße;München;de:09162:357;48,2083344118946;11,5557491521936
358;Hasenberglstraße;München;de:09162:358;48,2071287207216;11,5602801900204
359;Feldmochinger Anger;München;de:09162:359;48,209088277098;11,5438486367565
360;Olympia-Einkaufszentrum;München;de:09162:360;48,1819878282118;11,5295384278841
362;Ratkisstraße;München;de:09162:362;48,2103771669751;11,5560813410549
363;Pulverturmstraße;München;de:09162:363;48,2018145411381;11,5534915617713
366;Gröbenzeller Straße;München;de:09162:366;48,1830936539966;11,5079443495825
368;Feldmoching Bf. Ost;München;de:09162:368;48,2138162792728;11,5432280928303
369;Riesstraße Süd;München;de:09162:369;48,1763315359085;11,5363132028904
370;Moosacher St.-Martins-Platz;München;de:09162:370;48,1818022683154;11,5173027902344
376;Merseburger Straße;München;de:09162:376;48,1859821903364;11,5211368225799
377;Claudiusplatz;München;de:09162:377;48,1819979156026;11,5254233488636
380;Oberwiesenfeld;München;de:09162:380;48,1861807024493;11,5457058646701
381;Ludwigsfeld (Campingplatz);München;de:09162:381;48,1992975600188;11,4970679846364
382;Am Blütenanger;München;de:09162:382;48,2017840466549;11,506379955278
383;Pappelallee;München;de:09162:383;48,2004529956586;11,5127019510427
384;Sonnentaustraße;München;de:09162:384;48,1992361981459;11,5184710107217
385;Kuckucksblumenstraße;München;de:09162:385;48,1988658092225;11,5223890340993
396;Frauenmantelanger;München;de:09162:396;48,2093621477638;11,5682263537589
397;Pulverturm;München;de:09162:397;48,1960754125275;11,5648673954515
398;Scheidplatz Süd;München;de:09162:398;48,1702615332679;11,5736631596176
399;Olschewskibogen;München;de:09162:399;48,2002256422402;11,5589132289717
400;Scheidplatz;München;de:09162:400;48,1714720070624;11,5726851071247
401;Augustin-Rösch-Straße;München;de:09162:401;48,2012800214137;11,5642045571969
402;Röblingweg;München;de:09162:402;48,2049906276264;11,5728372948092
403;Feuchtwangerstraße;München;de:09162:403;48,2078132830695;11,5676877232663
404;Trenkleweg;München;de:09162:404;48,2100228089111;11,5717460172466
405;Weitlstraße;München;de:09162:405;48,2087675648672;11,56318584377
406;Dientzenhoferstraße;München;de:09162:406;48,2033609959991;11,5772096783456
407;Abtstraße;München;de:09162:407;48,1842286655933;11,5786847416809
408;Weyprechtstraße;München;de:09162:408;48,2046778457359;11,5637721672708
409;Rathenaustraße;München;de:09162:409;48,2006316120004;11,5735730152083
410;Bonner Platz;München;de:09162:410;48,1669069553589;11,5785306591255
413;Siedlung am Hart;München;de:09162:413;48,2011744583529;11,5768913279462
414;Sudetendeutsche Straße;München;de:09162:414;48,1961527391554;11,5783988142222
415;Euro-Industriepark West;München;de:09162:415;48,1926387340105;11,5839960820655
416;Oberhofer Platz;München;de:09162:416;48,1875997277515;11,5758462861056
417;Milbertshofener Straße;München;de:09162:417;48,1843964219333;11,5753885386146
418;Mildred-Scheel-Bogen;München;de:09162:418;48,1753007008915;11,5818100037449
419;Rümannstraße;München;de:09162:419;48,1755645448702;11,5728393947685
420;Freimann;München;de:09162:420;48,1923942679041;11,6145304102879
421;Karl-Theodor-Straße;München;de:09162:421;48,1668273778879;11,5740142292898
422;Clemensstraße;München;de:09162:422;48,1634658594942;11,5745528498924
423;Griegstraße;München;de:09162:423;48,1817421241044;11,5849044278022
424;Altenheim Schwabing;München;de:09162:424;48,1760648448177;11,5792624846683
425;Domagkstraße West;München;de:09162:425;48,1842952779326;11,584641775557
426;Ingolstädter Straße;München;de:09162:426;48,187891720261;11,5843975719454
427;Max-Bill-Straße;München;de:09162:427;48,187469067983;11,5970565760067
428;Lilienthalallee Süd;München;de:09162:428;48,1869029407846;11,6023598885753
429;Joseph-Dollinger-Bogen;München;de:09162:429;48,1864141567931;11,6066807314835
430;Kieferngarten;München;de:09162:430;48,2026667901908;11,6125027738153
431;Heckscherstraße;München;de:09162:431;48,1723710119873;11,5823984862692
432;Wilhelm-Hertz-Straße;München;de:09162:432;48,1759611859944;11,5853947438488
433;Parzivalplatz;München;de:09162:433;48,1711427402445;11,5859444317219
434;Potsdamer Straße;München;de:09162:434;48,1673124635661;11,5861903182239
435;Kölner Platz;München;de:09162:435;48,1701132908866;11,5773616384005
436;Neuherbergstraße;München;de:09162:436;48,2103757992666;11,5871356985386
437;Anton-Will-Straße;München;de:09162:437;48,2056870577215;11,5862315562105
438;Heidemannstraße;München;de:09162:438;48,2009802227657;11,58530081668
439;Gundelkoferstraße;München;de:09162:439;48,195859454671;11,5843063312967
440;Werner-Egk-Bogen;München;de:09162:440;48,201457019669;11,5980232749184
441;Paracelsusstraße;München;de:09162:441;48,2013371420877;11,5895355465715
442;Grusonstraße;München;de:09162:442;48,2017375886989;11,5934067652033
443;Euro-Industriepark Nord;München;de:09162:443;48,2008972950412;11,6025880790723
444;Paul-Hindemith-Allee;München;de:09162:444;48,2005213691973;11,6057254151966
445;Bernsteinweg;München;de:09162:445;48,2008749072647;11,6118436367241
446;Rockefellerstraße;München;de:09162:446;48,2106835113888;11,5753061362141
447;Rose-Pichler-Weg;München;de:09162:447;48,2108342263455;11,5820863165686
448;Gertrud-Grunow-Straße;München;de:09162:448;48,1829800701927;11,5966748202987
449;Untere Länge;München;de:09162:449;48,2058054754144;11,5942356674374
451;Kollwitzstraße;München;de:09162:451;48,1982443549682;11,5847713356801
452;Pündterplatz;München;de:09162:452;48,1626469196377;11,5768448542497
453;Keilberthstraße;München;de:09162:453;48,2052936308623;11,5995942978548
454;Gustav-Mahler-Straße;München;de:09162:454;48,2021671237109;11,6031029366137
455;Bismarckstraße;München;de:09162:455;48,1624778015236;11,582250150593
456;Ungererstraße;München;;48,1645704434377;11,5864543172986
457;Zaunweg;München;de:09162:457;48,1807388744478;11,6013048070322
458;Freiligrathstraße;München;de:09162:458;48,1781549604092;11,5852291691044
459;Schwabinger Tor;München;de:09162:459;48,1727183157867;11,5864292398908
460;Garching, Forschungszentrum;Garching (b München);de:09184:460;48,2648576635194;11,6712180818262
464;Edmund-Rumpler-Straße;München;de:09162:464;48,1951092462781;11,6089009769869
465;Lindberghstraße;München;de:09162:465;48,1917263456743;11,6058465832213
466;Freimanner Hölzl;München;de:09162:466;48,1919713528205;11,6012581671985
470;Fröttmaning;München;de:09162:470;48,2106992319329;11,6183221820937
480;Garching-Hochbrück;Garching (b München);de:09184:480;48,2472255213533;11,6308154980528
490;Garching;Garching (b München);de:09184:490;48,2494153537924;11,6524923854475
500;Münchner Freiheit;München;de:09162:500;48,1618628486411;11,5862878545643
501;Am Münchner Tor;München;de:09162:501;48,1761334356012;11,5882842738193
502;Domagkstraße;München;de:09162:502;48,1842348656646;11,5903712142871
503;Schwabing Nord;München;de:09162:503;48,1875294782197;11,5912326414303
510;Dietlindenstraße;München;de:09162:510;48,1666256682993;11,5902961443349
511;Osterwaldstraße;München;de:09162:511;48,1634362208082;11,5962901105674
512;Herzogpark;München;de:09162:512;48,1560899908062;11,607073480919
513;Barlachstraße;München;de:09162:513;48,1774994507064;11,5756336602134
518;Amsterdamer Straße;München;de:09162:518;48,1696068696143;11,5992129715796
520;Nordfriedhof;München;de:09162:520;48,1733957127856;11,5973952530208
530;Alte Heide;München;de:09162:530;48,1794708612901;11,603923340678
540;Studentenstadt;München;de:09162:540;48,1832890612251;11,6080225056935
541;Situlistraße;München;de:09162:541;48,1901133549545;11,6155427721484
542;Floriansmühlstraße;München;de:09162:542;48,1916422942491;11,6209921251719
543;Emmerigweg;München;de:09162:543;48,1953845620146;11,6240583368803
544;Josef-Wirth-Weg;München;de:09162:544;48,1990252939956;11,6263455068964
545;Großlappen;München;de:09162:545;48,2044316100076;11,6295485510199
546;Wallnerstraße;München;de:09162:546;48,2103701389944;11,6332866701026
547;Fröttmaning Auensiedlung;München;de:09162:547;48,2145680804476;11,6355173831437
548;Bayerischer Rundfunk;München;de:09162:548;48,1901073842134;11,627405516628
549;Lützelsteiner Straße;München;de:09162:549;48,1992379451251;11,6144657029509
550;Kufsteiner Platz;München;de:09162:550;48,1501735176523;11,602172900882
551;Redwitzstraße;München;de:09162:551;48,1554745018861;11,6085566522584
552;Gustav-Freytag-Straße;München;de:09162:552;48,158831228388;11,6118646738874
553;Gellertstraße;München;de:09162:553;48,1625835560691;11,6151701714738
554;Rümelinstraße;München;de:09162:554;48,1664163245793;11,6183545616528
555;Poschingerstraße;München;de:09162:555;48,152587532009;11,6058905817967
556;Regina-Ullmann-Straße;München;de:09162:556;48,1699421446061;11,6351340667771
557;Bichlhofweg;München;de:09162:557;48,1690056560197;11,6433685801979
560;Böhmerwaldplatz;München;de:09162:560;48,1428707429034;11,6153576142709
570;Prinzregentenplatz;München;de:09162:570;48,1393080720051;11,606986372828
580;Max-Weber-Platz;München;de:09162:580;48,1356612752412;11,597877986728
581;Max-Weber-Platz (Johannispl.);München;de:09162:581;48,1344389116871;11,5980890449743
590;Lehel;München;de:09162:590;48,1396034322874;11,5885625717243
599;Grimmeisenstraße;München;de:09162:599;48,1652054645374;11,6446585454619
600;St. Emmeram;München;de:09162:600;48,1760249030675;11,6305193147781
601;Fritz-Meyer-Weg;München;de:09162:601;48,1724830099409;11,6366353755577
602;Johanneskirchner Straße;München;de:09162:602;48,1677112270002;11,643565753627
603;Stegmühlstraße;München;de:09162:603;48,1624727919721;11,6450806626053
604;Freischützstraße;München;de:09162:604;48,1586595371715;11,6421497787337
605;Englschalkinger Straße;München;de:09162:605;48,1567158042041;11,6417734819255
606;Memeler Straße;München;de:09162:606;48,1532158344867;11,6412736366177
607;Zoppoter Straße;München;de:09162:607;48,1505699595355;11,640687270813
608;Posener Platz;München;de:09162:608;48,1481950929967;11,6404887986237
609;Warthestraße;München;de:09162:609;48,1462691793401;11,6371964006788
610;Vollmannstraße;München;de:09162:610;48,1474459733048;11,6283186315456
611;Moselstraße;München;de:09162:611;48,1418215997333;11,6272304466317
612;Steinhausen;München;de:09162:612;48,1373541480181;11,6196714002665
613;Schwarzwaldstraße;München;de:09162:613;48,1390655604376;11,6287552463939
615;Odinpark;München;de:09162:615;48,1579566894024;11,6192908950933
616;Daphnestraße;München;de:09162:616;48,1480661304087;11,6254248227793
617;Priel;München;de:09162:617;48,1609336768929;11,6220783123355
618;Effnerstraße;München;de:09162:618;48,1631432864058;11,6239844174941
619;Grüntal;München;de:09162:619;48,1686569131245;11,6214570109033
620;Isarring;München;de:09162:620;48,1538115239119;11,6114455022516
621;Mahirstraße;München;de:09162:621;48,1560232500311;11,613928830351
622;Odinstraße;München;de:09162:622;48,1585577787737;11,6161411383119
623;Wahnfriedallee;München;de:09162:623;48,1618865965932;11,6192349792413
624;Lohengrinstraße;München;de:09162:624;48,1642154612297;11,6218391567588
625;Bürgerpark Oberföhring;München;de:09162:625;48,1661540494756;11,6233709331617
626;Oberföhring Post;München;de:09162:626;48,1720194272305;11,6266624251474
627;Bernheimerstraße;München;de:09162:627;48,1736445791132;11,6286271310542
628;Muspillistraße;München;de:09162:628;48,1698448287061;11,6244464004648
629;Sondermeierstraße;München;de:09162:629;48,1907719025354;11,6243341197314
630;Altenheim Effnerstraße;München;de:09162:630;48,1590491618623;11,6205866657154
632;Prinz-Eugen-Park;München;de:09162:632;48,1625216022201;11,6291777813066
633;Schlösselgarten;München;de:09162:633;48,1586987836688;11,6289767787427
634;Wilhelm-Dieß-Weg;München;de:09162:634;48,1551011387769;11,6373492979856
635;Knappertsbuschstraße;München;de:09162:635;48,1602997556285;11,6403640504294
636;Bruno-Walter-Ring;München;de:09162:636;48,1627287861208;11,64062939569
637;Taimerhofstraße;München;de:09162:637;48,166825804004;11,6308541548354
638;Pühnstraße;München;de:09162:638;48,1467474273923;11,6320326758008
640;Zamdorfer Straße;München;de:09162:640;48,1382224051456;11,635076335204
641;Friedrich-Eckart-Straße;München;de:09162:641;48,1403037400473;11,6362977910309
